"","pub_id","author_name","author_id"
"1252",257,"Tang, Y.","1140"
"1253",257,"Elliott, W C","324"
"1254",261,"Gelman, S E","405"
"1255",261,"Hearon, J S","481"
"1256",261,"Ellis, G S","325"
"1257",262,"Hamisi, J.","456"
"1258",262,"Etschmann, B.","341"
"1259",262,"Tomkins, A.","1166"
"1260",262,"Pitcairn, I.","942"
"1261",262,"Pinter, Zsanett","1468"
"1262",262,"Wlodek, Adam","1469"
"1263",262,"Morrissey, Laura","1470"
"1264",262,"Micklethwaite, Steven","1471"
"1265",262,"Trcera, Nicolas","1472"
"1266",262,"Mills, Stuart","1473"
"1267",262,"Brugger, Joel","1474"
"1268",263,"Abd-Elssamd, A.","4"
"1269",263,"Ma, Z J","768"
"1270",263,"Hou, H.","522"
"1271",263,"Pape, Y. Le","907"
"1272",264,"Reich, Martin","1475"
"1273",264,"Simon, Adam C.","1476"
"1274",269,"Mayyas, A.","765"
"1275",269,"Alhseinat, E.","23"
"1276",269,"Karuppasamy, K.","1477"
"1277",269,"Hassan-Beck, Haitem","1478"
"1278",269,"Alfantazi, Akram","1479"
"1279",270,"Rozelle, P L","1012"
"1280",270,"Tarka, T J","1142"
"1281",270,"Mamula, N.","733"
"1282",274,"Suhrhoff, T J","1125"
"1283",274,"Reershemius, T.","984"
"1284",274,"Wang, J.","1213"
"1285",274,"Jordan, J S","589"
"1286",274,"Reinhard, Christopher T.","1480"
"1287",274,"Planavsky, Noah J.","1481"
"1288",276,"Ikejiri, T.","551"
"1289",276,"Lu, Y H","719"
"1290",276,"Zhang, B.","1303"
"1291",285,"Davey, S C","265"
"1292",286,"Müller, D.","805"
"1293",286,"Groves, D I","441"
"1294",286,"Yang, C X","1277"
"1295",286,"Santosh, M.","1482"
"1296",289,"Sarker, S K","1026"
"1297",289,"Pownceby, M.","951"
"1298",289,"Yadav, S.","1275"
"1299",289,"Bruckard, W.","167"
"1300",289,"Haque, Nawshad","1483"
"1301",289,"Singh, Nahar","1484"
"1302",289,"Pramanik, Biplob Kumar","1485"
"1303",290,"Burnett, M.","174"
"1304",290,"Zhang, Steven E","1309"
"1305",290,"Ghorbani, Y.","413"
"1306",290,"Bourdeau, J E","135"
"1307",290,"Nwaila, G T","883"
"1308",290,"Steiner, Benedikt M.","1486"
"1309",290,"Barnet, James S.K.","1487"
"1310",291,"Nibourel, L.","868"
"1311",291,"Morgenthaler, J.","824"
"1312",291,"Grazioli, S.","437"
"1313",291,"Schumacher, Isabel","1488"
"1314",291,"Schlafli, Salome","1489"
"1315",291,"Galfetti, Thomas","1490"
"1316",291,"Heuberger, Stefan","1491"
"1317",292,"Mohamed, G A","809"
"1318",292,"Saleh, Gehad M.","1492"
