"","pub_id","author_name","author_id"
"113",95,"Twelker, Evan","1178"
"114",110,"Naibert, Travis J.","859"
"115",110,"Wypych, Alicja","1267"
"116",111,"Moore, Jessica","820"
"117",111,"Hanna, Heather","462"
"118",111,"Royce, Bethany","1011"
"119",111,"Daft, Gary Jr","591"
"120",111,"Andrews, William M. Jr","596"
"121",111,"Eble, Cortland","318"
"122",111,"Brown, S E","166"
"123",113,"Wildland, Alec D.","1241"
"124",113,"Naibert, Travis J.","859"
"125",115,"Newberry, Rainer J.","864"
"126",119,"Wildland, Alec D.","1241"
"127",119,"Wypych, Alicja","1267"
"128",119,"Regan, Sean P.","986"
"129",119,"Holland, M. S P","507"
"130",1,"Horton, J. W. Jr","595"
"131",1,"Stoeser, D.","1115"
"132",1,"San Juan, C. A.","1326"
"133",2,"Mauk, Jeffrey L.","761"
"134",2,"Schmeda, German","1341"
"135",2,"Gnesda, William R","1342"
"136",2,"Knudsen, Liam D","1343"
"137",2,"Karl, Nick A","1344"
"138",4,"Hofstra, A H","505"
"139",4,"Kreiner, Douglas C.","655"
"140",5,"Hofstra, A H","505"
"141",5,"Kreiner, Douglas C.","655"
"142",6,"Fortier, Steven M.","375"
"143",6,"Graham, Garth E.","432"
"144",6,"Hammarstrom, Jane M.","458"
"145",6,"Day, Warren C.","270"
"146",6,"Mauk, Jeffrey L.","761"
"147",6,"Seal, Robert R. II","996"
"148",6,"Nassar, Nedal T.","1327"
"149",8,"Hammarstrom, Jane M.","458"
"150",8,"Dicken, C.","292"
"151",10,"Drenth, Benjamin J.","305"
"152",10,"Grauch, V. J. S.","434"
"153",11,"Naibert, Travis J.","859"
"154",11,"Benowitz, J.","101"
"155",11,"Wypych, Alicja","1267"
"156",11,"Sicard, Karri R.","1071"
"157",11,"Twelker, Evan","1178"
"158",12,"Wypych, Alicja","1267"
"159",12,"Twelker, Evan","1178"
"160",12,"Naibert, Travis J.","859"
"161",12,"Athey, Jennifer E.","58"
"162",12,"Newberry, Rainer J.","864"
"163",12,"Lopez, Julian A.","707"
"164",12,"Regan, Sean P.","986"
"165",12,"Sicard, Karri R.","1071"
"166",12,"Wildland, Alec D.","1241"
"167",12,"Wyatt, W. Chris","1266"
"168",13,"Kelley, K.","614"
"169",14,"Day, Warren C.","270"
"170",15,"Day, Warren C.","270"
"171",17,"Lederer, Graham W.","678"
"172",17,"Jones, James V. III","550"
"173",17,"McPhee, Darcy","780"
"174",17,"Mauk, Jeffrey L.","761"
"175",17,"Seal, Robert R. II","996"
"176",17,"Campbell, Kate M.","180"
"177",17,"Hammarstrom, Jane M.","458"
"178",17,"Bedrosian, Paul A.","93"
"179",17,"Macqueen, Patricia G.","728"
"180",17,"Graham, Garth E.","432"
"181",17,"Solano, Federico","1091"
"182",17,"Case, George N. D.","191"
"183",17,"Pineault, David George","941"
"184",20,"Kreiner, Douglas C.","655"
"185",20,"Jones, James V. III","550"
"186",21,"Kreiner, Douglas C.","655"
"187",21,"Jones, James V. III","550"
"188",21,"Case, George N. D.","191"
"189",22,"Shah, A. K.","1052"
"190",22,"Morrow, Robert","1330"
"191",22,"Pace, Michael","1331"
"192",22,"Harris, M. Scott","1332"
"193",22,"Doar,William","1333"
"194",23,"Van Gosen, B S","429"
"195",23,"Choate, L M","207"
"196",24,"Fikru, M G","362"
