"","author_id","author_name","canonical_key","extra","last_name","first_name","middle_name","check.accents"
"256",210,"Chormann, F H","chormann|f",NA,"Chormann","F","H",NA
"257",211,"Christensen, J N","christensen|j",NA,"Christensen","J","N",NA
"258",1434,"Christianson, Kyle R.",NA,NA,"Christianson","Kyle","R",NA
"259",212,"Christofferson, K.","christofferson|k",NA,"Christofferson","K",NA,NA
"260",215,"Chu, P.","chu|p",NA,"Chu","P",NA,NA
"261",213,"Chuah, Stephanie","chuah|s",NA,"Chuah","Stephanie",NA,NA
"262",1359,"Chuang, Lindsay Y.",NA,NA,"Chuang","Lindsay","Y",NA
"263",214,"Churchwell, D.","churchwell|d",NA,"Churchwell","D",NA,NA
"264",216,"Ciampaglio, C.","ciampaglio|c",NA,"Ciampaglio","C",NA,NA
"265",217,"Cicek, Z.","cicek|z",NA,"Cicek","Z",NA,NA
"266",218,"Clark, M.","clark|m",NA,"Clark","M",NA,NA
"267",219,"Clary, R M","clary|r",NA,"Clary","R","M",NA
"268",220,"Cleveland, K. Michael","cleveland|km",NA,"Cleveland","K","Michael",NA
"269",221,"Clifford, M J","clifford|m",NA,"Clifford","M","J",NA
"270",222,"Clune, J W","clune|j",NA,"Clune","J","W",NA
"271",224,"Cohen, B S","cohen|b",NA,"Cohen","B","S",NA
"272",225,"Coleman, Drew S.","coleman|ds",NA,"Coleman","Drew","S",NA
"273",226,"Colgan, J.","colgan|j",NA,"Colgan","J",NA,NA
"274",227,"Collar, Natalie M.","collar|nm",NA,"Collar","Natalie","M",NA
"275",228,"Comans, C M","comans|c",NA,"Comans","C","M",NA
"276",1336,"Connell, Dylan M",NA,NA,"Connell","Dylan","M",NA
"277",231,"Cook, Rachel L.","cook|rl",NA,"Cook","Rachel","L",NA
"278",1539,"Cool, Vincent",NA,NA,"Cool","Vincent",NA,NA
"279",232,"Coons, Aaron L.","coons|",NA,"Coons","Aaron","L",NA
"280",233,"Coplen, T B","coplen|t",NA,"Coplen","T","B",NA
"281",234,"Copler, C.","copler|c",NA,"Copler","C",NA,NA
"282",236,"Corchado-Albelo, J L","corchadoalbelo|j",NA,"Corchado-Albelo","J","L",NA
"283",237,"Corral, F J G","corral|f",NA,"Corral","F","J G",NA
"284",238,"Corriveau, L.","corriveau|l",NA,"Corriveau","L",NA,NA
"285",239,"Cothren, H R","cothren|h",NA,"Cothren","H","R",NA
"286",242,"Couëslan, C G","couslan|c",NA,"Couëslan","C","G",1
"287",240,"Coube-Sisqueille, S.","coubesisqueille|s",NA,"Coube-Sisqueille","S",NA,NA
"288",241,"Counts, J W","counts|j",NA,"Counts","J","W",NA
"289",1405,"Cousens, B. L.",NA,NA,"Cousens","B","L",NA
"290",243,"Cox, E M","cox|e",NA,"Cox","E","M",NA
"291",244,"Cox, I A","cox|i",NA,"Cox","I","A",NA
"292",245,"Cox, Jordan T.","cox|jt",NA,"Cox","Jordan","T",NA
"293",246,"Coyan, J A","coyan|j",NA,"Coyan","J","A",NA
"294",247,"Craddock, W H","craddock|w",NA,"Craddock","W","H",NA
"295",248,"Crafford, T.","crafford|t",NA,"Crafford","T",NA,NA
"296",548,"Cravotta, C A  III","iii|cc","III","Cravotta","C","A",NA
"297",249,"Crawford, J K","crawford|j",NA,"Crawford","J","K",NA
"298",250,"Creason, C G","creason|c",NA,"Creason","C","G",NA
"299",1497,"Creighton, Jerre L.",NA,NA,"Creighton","Jerre","L",NA
"300",1422,"Croes, Kristof",NA,NA,"Croes","Kristof",NA,NA
"301",252,"Crowley, C W","crowley|c",NA,"Crowley","C","W",NA
"302",251,"Crowley-Ornelas, E.","crowleyornelas|e",NA,"Crowley-Ornelas","E",NA,NA
"303",1699,"Csank, Adam",NA,NA,"Csank","Adam",NA,NA
"304",1704,"Cui, Yifei",NA,NA,"Cui","Yifei",NA,NA
"305",1590,"Cumming, William B",NA,NA,"Cumming","William","B",NA
"306",254,"Curl, Douglas C.","curl|dc",NA,"Curl","Douglas","C",NA
"307",255,"Currie, D.","currie|d",NA,"Currie","D",NA,NA
"308",1649,"Cushing, Paula E.",NA,NA,"Cushing","Paula","E",NA
"309",256,"Cushway, K C","cushway|k",NA,"Cushway","K","C",NA
"310",257,"Czarnota, K.","czarnota|k",NA,"Czarnota","K",NA,NA
"311",272,"Díaz, Xiomara Cazanas","daz|x",NA,"Díaz","Xiomara","Cazanas",1
"312",271,"Díaz-Gutiérrez, E.","dazgutirrez|e",NA,"Díaz-Gutiérrez","E",NA,1
"313",1674,"Dae-yong, Kim",NA,NA,"Dae-yong","Kim",NA,NA
"314",591,"Daft, Gary Jr","jr|gd","Jr","Daft","Gary",NA,NA
"315",258,"Dahlin, K M","dahlin|k",NA,"Dahlin","K","M",NA
"316",259,"Dahm, K.","dahm|k",NA,"Dahm","K",NA,NA
"317",260,"Dai, Q.","dai|q",NA,"Dai","Q",NA,NA
"318",261,"Darin, Michael H.","darin|mh",NA,"Darin","Michael","H",NA
"319",1728,"Das, Aman Kumar Lal",NA,"Lal","Das","Aman","Kumar",NA
"320",262,"Das, S.","das|s",NA,"Das","S",NA,NA
"321",1565,"Daspan, Raymond Ishaya",NA,NA,"Daspan","Raymond","Ishaya",NA
"322",263,"Dattilo, J.","dattilo|j",NA,"Dattilo","J",NA,NA
"323",264,"Davarpanah, A.","davarpanah|a",NA,"Davarpanah","A",NA,NA
"324",265,"Davey, S C","davey|s",NA,"Davey","S","C",NA
"325",267,"Davies, N S","davies|n",NA,"Davies","N","S",NA
"326",268,"Davies, R S","davies|r",NA,"Davies","R","S",NA
"327",270,"Day, Warren C.","day|wc",NA,"Day","Warren","C",NA
"328",273,"Deacon, B.","deacon|b",NA,"Deacon","B",NA,NA
"329",275,"Dean, D.","dean|d",NA,"Dean","D",NA,NA
"330",274,"DeAngelo, J.","deangelo|j",NA,"DeAngelo","J",NA,NA
"331",1505,"Debret, Baptiste",NA,NA,"Debret","Baptiste",NA,NA
"332",276,"Dechesne, M.","dechesne|m",NA,"Dechesne","M",NA,NA
"333",277,"Decree, Sophie","decree|s",NA,"Decree","Sophie",NA,NA
"334",279,"Dee, Seth","dee|s",NA,"Dee","Seth",NA,NA
"335",1661,"Deemer, Eva",NA,NA,"Deemer","Eva",NA,NA
"336",278,"Deering, Chad D.","deering|cd",NA,"Deering","Chad","D",NA
"337",280,"DeGraff, James M.","degraff|jm",NA,"DeGraff","James","M",NA
"338",1672,"Dehghani, Kamran",NA,NA,"Dehghani","Kamran",NA,NA
"339",281,"Deldicque, D.","deldicque|d",NA,"Deldicque","D",NA,NA
"340",1417,"Delie, Gilles",NA,NA,"Delie","Gilles",NA,NA
"341",282,"Demircan, Huriye","demircan|h",NA,"Demircan","Huriye",NA,NA
"342",283,"DeMott, L M","demott|l",NA,"DeMott","L","M",NA
"343",284,"Denham, Andrew T.","denham|at",NA,"Denham","Andrew","T",NA
"344",286,"Denton, K M","denton|k",NA,"Denton","K","M",NA
"345",287,"Deutch, J.","deutch|j",NA,"Deutch","J",NA,NA
"346",288,"DeVries, D R","devries|d",NA,"DeVries","D","R",NA
"347",289,"DeWitt, J D","dewitt|j",NA,"DeWitt","J","D",NA
"348",1398,"Dharmaratne, P. G. R.",NA,NA,"Dharmaratne","P","G R",NA
"349",290,"Diallo, M C","diallo|m",NA,"Diallo","M","C",NA
"350",292,"Dicken, C.","dicken|c",NA,"Dicken","C",NA,NA
"351",293,"Dietrich, V E","dietrich|v",NA,"Dietrich","V","E",NA
